#Firmware: MS3 1.5.2 release     20211110 12:29GMT (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,1.0,0.0,0.0,283.584,283.584
1.0,1.0,0.0,0.0,0.039,283.62302
0.0,1.0,0.0,0.0,0.625,284.24802
1.0,1.0,0.0,0.0,0.082,284.33002
0.0,1.0,0.0,0.0,76.579,360.90903
1.0,1.0,0.0,0.0,18.258,379.16702
0.0,1.0,0.0,0.0,50.32,429.48703
1.0,1.0,0.0,0.0,15.466,444.95303
1.0,0.0,1.0,0.0,47.787,492.74002
0.0,0.0,0.0,0.0,0.262,493.002
1.0,0.0,0.0,0.0,16.382,509.384
1.0,1.0,1.0,0.0,11.437,520.821
0.0,1.0,0.0,0.0,23.373,544.194
1.0,1.0,0.0,1.0,15.507,559.701
0.0,1.0,0.0,1.0,40.718,600.419
1.0,1.0,0.0,1.0,14.107,614.526
0.0,1.0,0.0,1.0,27.855,642.381
1.0,1.0,0.0,1.0,12.096,654.477
0.0,1.0,0.0,1.0,37.906,692.383
1.0,1.0,0.0,1.0,12.185,704.568
0.0,1.0,0.0,1.0,27.503,732.071
1.0,1.0,0.0,1.0,11.245,743.316
0.0,1.0,0.0,1.0,37.576,780.89197
1.0,1.0,0.0,1.0,12.24,793.13196
0.0,1.0,0.0,1.0,33.724,826.85596
1.0,1.0,0.0,1.0,13.843,840.699
1.0,0.0,1.0,1.0,37.305,878.00397
0.0,0.0,0.0,1.0,0.018,878.022
1.0,0.0,0.0,1.0,12.578,890.6
1.0,1.0,1.0,1.0,11.273,901.873
0.0,1.0,0.0,1.0,20.273,922.146
1.0,1.0,0.0,1.0,13.125,935.271
0.0,1.0,0.0,1.0,39.049,974.32
1.0,1.0,0.0,1.0,13.545,987.865
0.0,1.0,0.0,1.0,24.763,1012.628
1.0,1.0,0.0,1.0,10.999,1023.627
0.0,1.0,0.0,1.0,36.914,1060.541
1.0,1.0,0.0,1.0,12.16,1072.701
0.0,1.0,0.0,1.0,24.902,1097.603
1.0,1.0,0.0,1.0,10.788,1108.391
0.0,1.0,0.0,1.0,36.764,1145.155
1.0,1.0,0.0,1.0,11.934,1157.089
0.0,1.0,0.0,1.0,30.846,1187.9349
1.0,1.0,0.0,1.0,13.176,1201.111
1.0,0.0,1.0,1.0,38.929,1240.0399
0.0,0.0,0.0,1.0,0.082,1240.122
1.0,0.0,0.0,1.0,13.031,1253.153
1.0,1.0,1.0,1.0,9.4,1262.553
0.0,1.0,0.0,1.0,19.046,1281.599
1.0,1.0,0.0,1.0,12.834,1294.433
0.0,1.0,0.0,1.0,38.493,1332.926
1.0,1.0,0.0,1.0,13.476,1346.402
0.0,1.0,0.0,1.0,26.006,1372.408
1.0,1.0,0.0,1.0,10.801,1383.209
0.0,1.0,0.0,1.0,37.355,1420.564
1.0,1.0,0.0,1.0,11.243,1431.807
0.0,1.0,0.0,1.0,25.722,1457.529
1.0,1.0,0.0,1.0,9.804,1467.333
0.0,1.0,0.0,1.0,37.636,1504.969
1.0,1.0,0.0,1.0,12.265,1517.234
0.0,1.0,0.0,1.0,29.875,1547.109
1.0,1.0,0.0,1.0,14.153,1561.262
1.0,0.0,1.0,1.0,37.503,1598.765
0.0,0.0,0.0,1.0,0.195,1598.96
1.0,0.0,0.0,1.0,13.776,1612.736
1.0,1.0,1.0,1.0,8.308,1621.044
0.0,1.0,0.0,1.0,18.524,1639.568
1.0,1.0,0.0,1.0,11.632,1651.2
0.0,1.0,0.0,1.0,39.338,1690.538
1.0,1.0,0.0,1.0,13.345,1703.8829
0.0,1.0,0.0,1.0,26.764,1730.647
1.0,1.0,0.0,1.0,10.655,1741.302
0.0,1.0,0.0,1.0,40.754,1782.056
1.0,1.0,0.0,1.0,18.397,1800.453
0.0,1.0,0.0,1.0,27.416,1827.869
1.0,1.0,0.0,1.0,20.213,1848.082
0.0,1.0,0.0,1.0,96.999,1945.081
1.0,1.0,0.0,1.0,8.18,1953.2611
0.0,1.0,0.0,1.0,42.212,1995.4731
1.0,1.0,0.0,1.0,2.574,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
0.0,0.0,0.0,0.0,0.0,1998.0471
