//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 5-6-2023
//--  Time: 17:5
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2200 Ohms
//--    Temperature1: 31(F), 	Resistance 1: 5330 Ohms 
//--    Temperature2: 66(F), 	Resistance 2: 2380 Ohms 
//--    Temperature3: 111(F), 	Resistance 3: 1060 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	70.00	700 	0.005
2	70.00	700 	0.010
3	70.00	700 	0.015
4	70.00	700 	0.020
5	70.00	700 	0.024
6	70.00	700 	0.029
7	70.00	700 	0.034
8	70.00	700 	0.039
9	70.00	700 	0.044
10	70.00	700 	0.049
11	70.00	700 	0.054
12	70.00	700 	0.059
13	70.00	700 	0.063
14	70.00	700 	0.068
15	70.00	700 	0.073
16	70.00	700 	0.078
17	70.00	700 	0.083
18	70.00	700 	0.088
19	70.00	700 	0.093
20	70.00	700 	0.098
21	70.00	700 	0.103
22	70.00	700 	0.107
23	70.00	700 	0.112
24	70.00	700 	0.117
25	70.00	700 	0.122
26	70.00	700 	0.127
27	70.00	700 	0.132
28	70.00	700 	0.137
29	70.00	700 	0.142
30	70.00	700 	0.146
31	70.00	700 	0.151
32	70.00	700 	0.156
33	70.00	700 	0.161
34	70.00	700 	0.166
35	70.00	700 	0.171
36	70.00	700 	0.176
37	70.00	700 	0.181
38	70.00	700 	0.186
39	70.00	700 	0.190
40	70.00	700 	0.195
41	70.00	700 	0.200
42	70.00	700 	0.205
43	346.54	3465 	0.210
44	342.95	3429 	0.215
45	339.47	3395 	0.220
46	336.10	3361 	0.225
47	332.83	3328 	0.229
48	329.65	3297 	0.234
49	326.57	3266 	0.239
50	323.57	3236 	0.244
51	320.65	3207 	0.249
52	317.81	3178 	0.254
53	315.05	3151 	0.259
54	312.36	3124 	0.264
55	309.73	3097 	0.269
56	307.17	3072 	0.273
57	304.67	3047 	0.278
58	302.23	3022 	0.283
59	299.85	2999 	0.288
60	297.52	2975 	0.293
61	295.25	2952 	0.298
62	293.02	2930 	0.303
63	290.85	2908 	0.308
64	288.72	2887 	0.313
65	286.63	2866 	0.317
66	284.59	2846 	0.322
67	282.59	2826 	0.327
68	280.63	2806 	0.332
69	278.70	2787 	0.337
70	276.82	2768 	0.342
71	274.97	2750 	0.347
72	273.16	2732 	0.352
73	271.38	2714 	0.356
74	269.63	2696 	0.361
75	267.91	2679 	0.366
76	266.22	2662 	0.371
77	264.57	2646 	0.376
78	262.94	2629 	0.381
79	261.34	2613 	0.386
80	259.76	2598 	0.391
81	258.21	2582 	0.396
82	256.69	2567 	0.400
83	255.19	2552 	0.405
84	253.72	2537 	0.410
85	252.27	2523 	0.415
86	250.84	2508 	0.420
87	249.43	2494 	0.425
88	248.04	2480 	0.430
89	246.68	2467 	0.435
90	245.33	2453 	0.439
91	244.01	2440 	0.444
92	242.70	2427 	0.449
93	241.41	2414 	0.454
94	240.14	2401 	0.459
95	238.89	2389 	0.464
96	237.66	2377 	0.469
97	236.44	2364 	0.474
98	235.23	2352 	0.479
99	234.05	2340 	0.483
100	232.88	2329 	0.488
101	231.72	2317 	0.493
102	230.58	2306 	0.498
103	229.45	2295 	0.503
104	228.34	2283 	0.508
105	227.24	2272 	0.513
106	226.16	2262 	0.518
107	225.09	2251 	0.522
108	224.03	2240 	0.527
109	222.98	2230 	0.532
110	221.95	2219 	0.537
111	220.92	2209 	0.542
112	219.91	2199 	0.547
113	218.92	2189 	0.552
114	217.93	2179 	0.557
115	216.95	2170 	0.562
116	215.99	2160 	0.566
117	215.03	2150 	0.571
118	214.09	2141 	0.576
119	213.15	2132 	0.581
120	212.23	2122 	0.586
121	211.31	2113 	0.591
122	210.41	2104 	0.596
123	209.51	2095 	0.601
124	208.63	2086 	0.605
125	207.75	2077 	0.610
126	206.88	2069 	0.615
127	206.02	2060 	0.620
128	205.17	2052 	0.625
129	204.33	2043 	0.630
130	203.49	2035 	0.635
131	202.67	2027 	0.640
132	201.85	2018 	0.645
133	201.04	2010 	0.649
134	200.23	2002 	0.654
135	199.44	1994 	0.659
136	198.65	1987 	0.664
137	197.87	1979 	0.669
138	197.10	1971 	0.674
139	196.33	1963 	0.679
140	195.57	1956 	0.684
141	194.82	1948 	0.688
142	194.07	1941 	0.693
143	193.33	1933 	0.698
144	192.60	1926 	0.703
145	191.87	1919 	0.708
146	191.15	1911 	0.713
147	190.43	1904 	0.718
148	189.72	1897 	0.723
149	189.02	1890 	0.728
150	188.32	1883 	0.732
151	187.63	1876 	0.737
152	186.95	1869 	0.742
153	186.27	1863 	0.747
154	185.59	1856 	0.752
155	184.92	1849 	0.757
156	184.26	1843 	0.762
157	183.60	1836 	0.767
158	182.95	1829 	0.771
159	182.30	1823 	0.776
160	181.65	1817 	0.781
161	181.01	1810 	0.786
162	180.38	1804 	0.791
163	179.75	1798 	0.796
164	179.13	1791 	0.801
165	178.51	1785 	0.806
166	177.89	1779 	0.811
167	177.28	1773 	0.815
168	176.68	1767 	0.820
169	176.07	1761 	0.825
170	175.48	1755 	0.830
